room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
6939759,1309,26413047,Entire home/apt,,Boston,,North End,9,5.0,4,1.0,,200.0,,Spacious 1 BR North End Apartment,2017-06-10 12:54:51.698165,42.361883,-71.052963,0101000020E61000007A39ECBE63C351C03BFDA02E522E4540
8055839,1309,39621923,Entire home/apt,,Boston,,South Boston,5,4.5,4,2.0,,200.0,,Updated South Boston Condo,2017-06-10 12:54:48.898823,42.336509,-71.055136,0101000020E61000004435255987C351C0A3E716BA122B4540
1110423,1309,6095174,Entire home/apt,,Boston,,Brighton,43,4.5,4,2.0,,200.0,,STYLISH BRIGHTON 2 BED CONDO WITH PARKING SPOT!,2017-06-10 12:54:24.521739,42.349415,-71.156425,0101000020E6100000B7D100DE02CA51C0ADDD76A1B92C4540
8634599,1309,45402419,Entire home/apt,,Boston,,Jamaica Plain,23,4.5,2,1.0,,193.0,,"Stunning suite, historic victorian",2017-06-10 12:54:23.001446,42.310631,-71.111844,0101000020E61000003F90BC7328C751C0D80FB1C1C2274540
2880944,1309,5052732,Entire home/apt,,Boston,,Jamaica Plain,5,5.0,4,2.0,,185.0,,2BD Pond-side condo in JP for longer-term rentals,2017-06-10 12:54:22.075295,42.313951,-71.116009,0101000020E6100000AB4203B16CC751C0F4C5DE8B2F284540
5212321,1309,11725202,Entire home/apt,,Boston,,Jamaica Plain,2,0.0,5,2.0,,187.0,,"Sunlit house n Great neighborhood, JamaicaPlan",2017-06-10 12:54:22.064101,42.319676,-71.104973,0101000020E6100000A27DACE0B7C651C076A8A624EB284540
6862758,1309,35962316,Entire home/apt,,Boston,,Jamaica Plain,12,5.0,5,2.0,,200.0,,"Quiet, Spacious 2BD in Boston's JP!",2017-06-10 12:54:20.125003,42.318139,-71.103674,0101000020E610000083DC4598A2C651C0844A5CC7B8284540
6386351,1309,33289576,Entire home/apt,,Boston,,Jamaica Plain,0,0.0,3,1.0,,185.0,,Charming Arboretum Area 1+ Bed/1 Ba,2017-06-10 12:54:18.514298,42.302487,-71.113314,0101000020E6100000740B5D8940C751C08A3BDEE4B7264540
3079305,1309,15637560,Entire home/apt,,Boston,,Jamaica Plain,41,5.0,4,2.0,,199.0,,Modern and charming condo in JP.,2017-06-10 12:54:18.492954,42.306943,-71.114016,0101000020E610000021CEC3094CC751C0395E81E849274540
18955871,1309,9329890,Entire home/apt,,Boston,,Jamaica Plain,0,0.0,4,2.0,,195.0,,Bright cozy and spacious- surrounded by green!,2017-06-10 12:54:16.720130,42.296885,-71.114023,0101000020E61000007AFF1F274CC751C024D6E25300264540
